unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,ISL,Iceland,DTP3,92,92,92,93,92,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98
ROSA,IND,India,DTP3,91,93,85,85,91,90,89,88,87,85,83,82,82,79,74,70,64,65,65,63,61,59,59,58
EAPR,IDN,Indonesia,DTP3,83,91,67,77,85,85,85,84,84,88,92,87,81,81,78,77,73,72,72,71,71,70,76,75
MENA,IRN,Iran (Islamic Republic of),DTP3,99,99,98,99,99,99,99,99,98,99,98,99,99,99,99,99,99,98,95,99,99,99,96,99
MENA,IRQ,Iraq,DTP3,91,93,78,74,84,86,81,71,68,73,73,72,81,74,78,69,57,59,65,74,75,77,78,80
Non-programme,IRL,Ireland,DTP3,89,93,94,94,94,94,95,95,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86
Non-programme,ISR,Israel,DTP3,98,98,98,98,98,98,98,94,95,95,96,94,94,95,96,94,95,95,93,95,93,90,92,93
Non-programme,ITA,Italy,DTP3,95,95,94,94,96,95,95,94,93,95,96,97,96,96,96,96,97,96,95,94,96,93,93,87
LACR,JAM,Jamaica,DTP3,98,98,90,96,96,97,93,99,91,92,93,96,92,94,90,91,92,95,99,98,96,99,99,93
Non-programme,JPN,Japan,DTP3,98,99,99,96,98,98,99,99,96,96,96,97,97,97,97,98,98,98,98,99,97,96,95,85
MENA,JOR,Jordan,DTP3,96,92,85,77,89,96,99,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,99,91
ECAR,KAZ,Kazakhstan,DTP3,99,99,95,88,97,98,99,82,98,95,98,99,99,99,98,99,93,99,98,82,99,95,95,97
ESAR,KEN,Kenya,DTP3,93,94,95,93,93,91,81,88,89,92,87,94,96,90,88,88,81,80,76,73,73,84,80,82
EAPR,KIR,Kiribati,DTP3,90,91,90,92,97,95,90,81,78,75,95,94,99,91,86,82,94,86,79,62,70,77,85,90
MENA,KWT,Kuwait,DTP3,99,96,94,93,92,91,99,99,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98
ECAR,KGZ,Kyrgyzstan,DTP3,86,90,89,87,95,94,92,96,97,96,97,96,96,96,95,95,94,92,98,99,98,98,99,99
EAPR,LAO,Lao People's Democratic Republic,DTP3,84,80,75,79,80,85,84,83,83,83,83,77,76,74,67,61,50,57,49,45,49,53,52,51
Non-programme,LVA,Latvia,DTP3,98,95,94,99,99,96,98,98,94,92,94,91,92,92,94,94,94,96,99,99,98,97,97,96
MENA,LBN,Lebanon,DTP3,55,67,67,71,76,77,79,80,82,83,83,83,84,84,85,85,83,81,78,76,74,77,80,83
ESAR,LSO,Lesotho,DTP3,87,87,87,87,87,87,87,87,83,88,93,95,96,93,91,88,88,89,89,90,90,84,78,83
WCAR,LBR,Liberia,DTP3,82,78,66,65,70,80,80,73,65,63,80,80,77,70,81,75,65,60,60,31,35,39,42,46
MENA,LBY,Libya,DTP3,73,73,73,73,73,73,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94
Non-programme,LTU,Lithuania,DTP3,90,90,90,91,92,92,94,94,93,93,93,93,92,95,98,96,95,94,94,94,94,95,95,94
Non-programme,LUX,Luxembourg,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99
ESAR,MDG,Madagascar,DTP3,65,57,57,68,70,74,65,68,62,68,70,68,73,70,77,77,84,85,85,78,66,62,60,57
ESAR,MWI,Malawi,DTP3,91,86,93,94,95,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,90,75
EAPR,MYS,Malaysia,DTP3,97,97,95,98,98,99,99,98,99,97,97,97,96,96,97,97,97,95,96,95,96,94,96,98
ROSA,MDV,Maldives,DTP3,99,99,96,99,98,99,99,99,99,99,99,99,96,96,98,98,98,98,98,96,98,98,98,98
WCAR,MLI,Mali,DTP3,77,77,77,70,77,77,77,76,71,66,64,65,66,73,73,74,74,78,77,69,63,61,49,43
Non-programme,MLT,Malta,DTP3,98,98,99,98,98,97,98,97,97,99,99,99,96,76,73,72,74,85,92,89,94,95,95,94
EAPR,MHL,Marshall Islands,DTP3,85,86,86,82,79,81,80,71,85,78,79,80,87,94,96,95,93,74,77,64,68,80,48,39
WCAR,MRT,Mauritania,DTP3,90,85,77,81,80,77,76,74,73,81,80,80,75,64,64,74,75,68,71,70,76,89,75,51
Non-programme,MUS,Mauritius,DTP3,96,95,92,93,96,97,94,96,97,97,98,98,98,99,99,99,97,97,97,98,99,88,92,88
LACR,MEX,Mexico,DTP3,85,83,78,72,82,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97
EAPR,FSM,Micronesia (Federated States of),DTP3,79,69,72,83,78,75,73,69,72,77,81,81,84,85,91,85,79,67,94,78,92,84,75,85
Non-programme,MCO,Monaco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,MNG,Mongolia,DTP3,96,95,95,96,98,99,99,99,99,99,98,99,99,96,95,96,95,99,99,99,98,98,95,94
ECAR,MNE,Montenegro,DTP3,81,80,83,84,85,86,87,89,89,91,94,94,95,94,92,95,92,90,,,,,,
MENA,MAR,Morocco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,97,98,97,91,94,96,95
ESAR,MOZ,Mozambique,DTP3,70,55,56,71,85,85,85,85,85,85,82,80,77,74,74,75,75,78,80,83,85,76,73,70
EAPR,MMR,Myanmar,DTP3,76,71,37,84,90,91,89,90,89,88,75,84,84,90,90,85,86,82,73,82,78,79,73,82
ESAR,NAM,Namibia,DTP3,83,84,94,93,87,89,88,85,92,88,89,84,82,83,83,83,86,86,86,81,79,77,78,79
EAPR,NRU,Nauru,DTP3,99,99,98,95,96,90,87,97,91,95,87,79,99,99,99,99,99,72,80,80,80,80,95,44
ROSA,NPL,Nepal,DTP3,94,90,91,84,93,91,90,87,91,92,92,90,92,82,89,82,82,89,75,80,78,72,72,74
Non-programme,NLD,Netherlands (Kingdom of the),DTP3,92,93,95,94,94,93,94,95,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97
Non-programme,NZL,New Zealand,DTP3,88,89,90,92,92,93,94,92,92,93,92,93,95,93,92,89,88,89,89,89,90,90,90,90
LACR,NIC,Nicaragua,DTP3,89,92,87,92,98,98,98,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83
WCAR,NER,Niger,DTP3,85,84,82,81,81,79,85,80,84,81,73,71,75,70,71,67,57,51,45,43,41,39,36,34
WCAR,NGA,Nigeria,DTP3,62,62,62,62,66,61,55,53,42,43,43,42,48,54,63,53,42,40,36,33,29,25,27,29
EAPR,NIU,Niue,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,85,99,95,99,99,99
ECAR,MKD,North Macedonia,DTP3,86,84,81,84,92,92,91,95,91,95,98,95,96,95,96,95,95,93,97,94,96,96,91,95
Non-programme,NOR,Norway,DTP3,96,97,97,97,97,96,96,96,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,90
MENA,OMN,Oman,DTP3,99,99,99,99,99,99,99,99,99,99,98,98,99,99,98,99,99,98,99,99,99,99,99,99
ROSA,PAK,Pakistan,DTP3,86,85,83,80,84,80,75,75,72,69,65,64,63,52,52,53,54,59,63,68,66,63,61,59
EAPR,PLW,Palau,DTP3,97,94,95,96,97,95,97,98,90,95,99,89,84,69,49,92,94,98,98,98,99,99,98,96
LACR,PAN,Panama,DTP3,66,82,87,74,88,88,81,86,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,98
EAPR,PNG,Papua New Guinea,DTP3,35,37,32,40,35,35,36,46,49,52,60,57,58,55,64,56,66,70,72,62,68,61,55,59
LACR,PRY,Paraguay,DTP3,71,69,70,79,86,88,91,92,92,93,91,91,92,91,86,89,95,98,96,92,86,87,89,86
LACR,PER,Peru,DTP3,84,82,82,72,88,89,89,90,90,88,88,95,91,93,93,93,93,94,77,86,94,95,90,98
EAPR,PHL,Philippines,DTP3,89,84,69,83,84,84,84,84,74,79,84,89,89,88,88,87,87,88,89,88,84,79,79,78
Non-programme,POL,Poland,DTP3,94,94,94,94,95,95,96,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98
Non-programme,PRT,Portugal,DTP3,99,99,99,99,99,99,98,98,98,98,98,98,97,98,96,97,97,97,93,95,99,98,97,96
MENA,QAT,Qatar,DTP3,95,98,98,89,98,98,97,98,99,89,97,92,93,97,99,97,94,96,97,96,92,96,93,80
Non-programme,KOR,Republic of Korea,DTP3,98,98,98,98,98,98,97,98,98,99,99,99,99,94,94,94,91,98,96,88,97,97,97,97
ECAR,MDA,Republic of Moldova,DTP3,87,88,87,86,91,93,88,89,87,90,90,92,93,90,85,90,92,97,98,98,98,97,97,95
ECAR,ROU,Romania,DTP3,78,85,86,87,88,86,82,89,89,94,92,91,89,94,95,96,96,97,97,97,97,98,99,99
Non-programme,RUS,Russian Federation,DTP3,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,97,96,97,96,96
ESAR,RWA,Rwanda,DTP3,94,98,88,91,98,97,98,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,77,90
