unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
MENA,IRN,Iran (Islamic Republic of),MCV1,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,98,97,99,94,96,99,99,96,99
MENA,IRQ,Iraq,MCV1,97,97,84,93,86,85,81,79,71,70,73,74,80,75,81,75,64,62,69,69,73,77,82,86
Non-programme,IRL,Ireland,MCV1,89,90,90,92,91,92,92,92,93,93,93,92,92,90,90,89,87,86,84,81,78,73,73,79
Non-programme,ISR,Israel,MCV1,98,98,99,99,99,98,98,97,98,97,98,96,97,96,97,98,97,96,94,97,96,95,95,95
Non-programme,ITA,Italy,MCV1,95,94,94,92,94,93,92,87,85,87,90,90,90,91,90,90,90,88,87,86,84,81,77,74
LACR,JAM,Jamaica,MCV1,93,91,88,93,94,89,95,95,91,92,94,93,88,89,88,88,76,87,84,86,78,86,85,88
Non-programme,JPN,Japan,MCV1,94,98,95,98,96,97,97,96,96,98,95,96,94,94,94,95,96,97,98,98,98,98,98,96
MENA,JOR,Jordan,MCV1,95,86,81,76,87,92,93,96,94,98,97,98,98,98,95,95,95,99,95,99,96,95,99,94
ECAR,KAZ,Kazakhstan,MCV1,99,99,97,93,99,99,99,99,99,99,99,96,99,99,99,99,99,99,99,99,99,95,95,99
ESAR,KEN,Kenya,MCV1,91,89,90,89,92,92,84,93,96,95,94,93,87,86,88,90,80,77,69,73,72,78,77,78
EAPR,KIR,Kiribati,MCV1,79,85,80,82,94,84,81,80,84,88,91,91,90,89,82,72,93,61,85,56,72,88,76,80
MENA,KWT,Kuwait,MCV1,99,99,94,95,97,98,99,99,93,94,99,99,99,98,99,99,99,99,99,97,97,97,99,99
ECAR,KGZ,Kyrgyzstan,MCV1,96,94,93,92,96,96,95,97,99,96,99,98,97,99,99,99,99,97,99,99,99,98,99,98
EAPR,LAO,Lao People's Democratic Republic,MCV1,80,76,73,79,83,86,86,81,81,81,78,69,67,64,59,52,40,48,41,36,42,55,50,42
Non-programme,LVA,Latvia,MCV1,96,96,97,99,99,98,96,93,96,95,96,90,92,95,92,96,95,98,98,98,98,98,98,97
MENA,LBN,Lebanon,MCV1,73,67,67,74,81,81,81,81,82,82,82,81,81,80,80,79,74,69,63,58,53,59,65,71
ESAR,LSO,Lesotho,MCV1,90,81,90,90,90,90,90,90,93,92,90,91,92,88,84,80,81,82,83,84,85,78,70,74
WCAR,LBR,Liberia,MCV1,82,79,58,61,68,74,75,70,64,58,74,80,71,65,83,76,71,63,62,41,47,52,58,63
MENA,LBY,Libya,MCV1,73,73,73,73,73,73,94,97,98,93,96,98,98,98,98,98,98,98,97,99,96,91,93,93
Non-programme,LTU,Lithuania,MCV1,87,87,88,90,93,92,94,94,94,93,93,93,94,96,96,97,97,97,97,98,98,98,97,97
Non-programme,LUX,Luxembourg,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,96,96,96,96,96,95,95,95,95,94,94,93
ESAR,MDG,Madagascar,MCV1,51,44,44,55,60,68,55,62,60,66,64,62,62,66,63,70,81,71,74,79,65,61,59,57
ESAR,MWI,Malawi,MCV1,87,82,90,90,92,87,83,81,87,85,88,90,96,93,92,88,83,85,82,80,77,69,81,73
EAPR,MYS,Malaysia,MCV1,96,96,96,95,97,98,96,94,93,92,95,95,95,95,95,95,95,95,96,95,93,94,95,96
ROSA,MDV,Maldives,MCV1,99,98,97,98,99,99,99,99,99,99,99,98,96,97,98,97,97,97,97,97,96,97,98,99
WCAR,MLI,Mali,MCV1,73,73,72,62,71,71,70,70,65,61,62,67,72,78,73,71,66,68,73,63,57,56,54,49
Non-programme,MLT,Malta,MCV1,95,96,90,95,96,96,91,93,89,98,99,93,84,73,82,78,79,94,86,94,90,65,70,74
EAPR,MHL,Marshall Islands,MCV1,88,81,85,89,85,83,83,75,75,79,79,78,88,97,78,86,94,96,86,70,90,80,64,94
WCAR,MRT,Mauritania,MCV1,92,84,75,82,75,78,75,73,70,75,80,75,67,67,59,65,67,62,65,73,84,87,58,46
Non-programme,MUS,Mauritius,MCV1,96,98,87,89,99,99,89,92,99,98,99,99,99,99,99,98,98,99,98,98,91,84,90,84
LACR,MEX,Mexico,MCV1,76,86,99,92,73,97,76,96,97,97,89,99,98,95,96,96,96,96,96,96,96,96,95,96
EAPR,FSM,Micronesia (Federated States of),MCV1,86,69,64,79,78,73,76,70,74,83,91,91,92,80,86,86,92,83,96,85,91,88,84,85
Non-programme,MCO,Monaco,MCV1,88,88,88,88,88,88,88,89,89,90,91,91,91,93,92,94,95,94,96,96,97,97,98,98
EAPR,MNG,Mongolia,MCV1,96,94,95,97,98,99,99,98,98,98,97,99,98,97,94,97,98,99,97,99,98,98,95,92
ECAR,MNE,Montenegro,MCV1,24,33,18,24,33,42,58,47,64,76,88,90,91,90,86,89,90,90,,,,,,
MENA,MAR,Morocco,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,96,95,95,97,95,90,94,96,93
ESAR,MOZ,Mozambique,MCV1,65,63,62,73,83,83,83,83,83,83,83,83,82,82,80,77,75,76,78,79,80,77,74,71
EAPR,MMR,Myanmar,MCV1,74,75,44,91,84,93,83,91,84,88,86,84,88,88,87,82,81,78,84,86,80,77,73,84
ESAR,NAM,Namibia,MCV1,86,89,91,90,80,82,80,75,85,83,82,76,74,75,76,73,69,63,73,70,70,68,58,69
